City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
134,nuuk,64.1835,-51.7216,2.34,87,100,11.83,GL,1683177006
135,afaahiti,-17.75,-149.2833,27.81,82,26,9.79,PF,1683177007
136,inongo,-1.95,18.2667,21.86,96,100,1.66,CD,1683177007
137,sorong,-0.8833,131.25,28.69,80,34,4.42,ID,1683177007
138,al burayqah,30.4062,19.5739,18.39,73,0,4.9,LY,1683177007
139,uacu cungo,-11.3634,15.1208,14.25,75,31,1.63,AO,1683177007
140,grand falls-windsor,48.9332,-55.6649,3.06,94,100,0.45,CA,1683177008
141,aconibe,1.2968,10.9369,20.01,100,100,1.05,GQ,1683177008
142,atafu village,-8.5421,-172.5159,28.45,76,73,6.26,TK,1683177008
143,vorgashor,67.5833,63.95,0.23,99,100,3.91,RU,1683177009
144,howrah,22.5892,88.3103,30.0,70,75,4.12,IN,1683177009
145,bredasdorp,-34.5322,20.0403,11.22,92,0,1.74,ZA,1683177009
146,olonkinbyen,70.9221,-8.7187,-0.09,84,27,8.34,SJ,1683177009
147,guru har sahai,30.7167,74.4167,30.39,35,4,2.97,IN,1683177009
148,badger,64.8,-147.5333,4.95,62,100,3.09,US,1683177010
149,west island,-12.1568,96.8225,28.99,74,100,2.06,CC,1683177010
150,kani keli,-12.9536,45.1033,27.59,73,21,5.7,YT,1683177010
151,viedma,-40.8135,-62.9967,13.14,39,32,4.79,AR,1683176462
152,saipan,15.1355,145.701,31.39,100,0,6.69,MP,1683176919
153,sitka,57.0531,-135.33,7.94,66,0,1.54,US,1683176941
154,mount isa,-20.7333,139.5,30.87,33,28,4.63,AU,1683177011
155,chipinge,-20.1883,32.6236,13.79,88,43,1.51,ZW,1683177011
156,dzhangala,49.2167,50.3333,19.03,61,70,5.71,KZ,1683177011
157,cockburn town,21.4612,-71.1419,26.94,80,100,4.75,TC,1683176905
158,san patricio,28.017,-97.5169,24.35,92,69,2.29,US,1683176918
159,dizangue,3.7667,9.9833,23.2,97,89,0.91,CM,1683177012
160,tazovsky,67.4667,78.7,-1.25,87,100,2.31,RU,1683177012
161,arraial do cabo,-22.9661,-42.0278,22.39,82,0,1.77,BR,1683177012
162,san pedro pochutla,15.7333,-96.4667,28.17,70,42,1.73,MX,1683176474
163,turan,16.0678,108.2208,32.99,66,20,3.6,VN,1683176948
164,shagonar,51.5333,92.8,5.39,44,88,1.62,RU,1683177012
165,kristiansund,63.1115,7.732,2.36,80,20,1.54,NO,1683177013
166,kailua-kona,19.6406,-155.9956,26.98,87,75,4.63,US,1683176752
167,shingu,33.7333,135.9833,21.44,62,93,4.91,JP,1683177013
168,kiamba,5.9894,124.6242,30.41,72,74,2.24,PH,1683177013
169,dudinka,69.4058,86.1778,-2.43,91,85,3.6,RU,1683177013
170,nola,40.922,14.5329,16.07,92,77,2.37,IT,1683177014
171,mar del plata,-38.0023,-57.5575,10.53,77,0,0.89,AR,1683177014
172,qaqortoq,60.7167,-46.0333,0.27,71,45,0.74,GL,1683177014
173,agat village,13.3886,144.6585,31.52,67,40,6.17,GU,1683177014
174,kununurra,-15.7667,128.7333,30.99,27,0,4.12,AU,1683176759
175,vilyuchinsk,52.9306,158.4028,8.15,84,60,2.31,RU,1683177015
176,puerto baquerizo moreno,-0.9,-89.6,26.63,80,18,2.68,EC,1683177015
177,el calafate,-50.3408,-72.2768,7.05,75,4,6.14,AR,1683177015
178,severo-yeniseyskiy,60.3725,93.0408,4.5,75,100,4.29,RU,1683177015
179,constantia,44.1833,28.65,12.61,84,100,4.36,RO,1683177015
180,mejit,10.2753,170.8646,27.14,79,94,6.59,MH,1683177015
181,hawaiian paradise park,19.5933,-154.9731,22.73,93,100,6.17,US,1683177008
182,port lincoln,-34.7333,135.8667,17.12,61,100,5.91,AU,1683177016
183,fale old settlement,-9.3852,-171.2468,28.66,76,74,6.16,TK,1683177016
184,codrington,-38.2667,141.9667,16.61,47,57,3.18,AU,1683177016
185,novodvinsk,64.4165,40.8122,1.51,80,100,6.2,RU,1683177017
186,rawson,-43.3002,-65.1023,15.76,52,58,9.63,AR,1683177017
187,gobabis,-22.45,18.9667,20.15,36,79,0.55,NA,1683177017
188,kenai,60.5544,-151.2583,4.05,68,100,3.6,US,1683177017
189,vengurla,15.8667,73.6333,30.46,53,43,2.91,IN,1683177017
190,egilsstadir,65.2653,-14.3948,1.8,86,73,3.25,IS,1683177018
191,fort bragg,35.139,-79.006,13.75,50,0,4.02,US,1683177018
